Workgroup Id,Teacher,Class Period,Idea Text,Flag,Tags,Source,Node Type,Node Name Created On,Steps Used In Count,Steps Used In,Trash,Timestamp Basket Saved,Timestamp Idea Created,Timestamp Idea Last Edited,Steps Used In Changed,Deleted In This Revision,,,,,,,,,,,,
31136,5,3,"Fortunately, molecules known as detergents can help remove oil from birds. Detergents are a large class of molecules that includes soaps, shampoos etc",important,,Evidence Step,Html,1.4: The role of detergent molecules,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:45:49 PM","May 17, 2011 1:45:49 PM",0,0,,,,,,,,,,,,
31136,5,3,Water can not remove oil from wildlife because oil does not dissolve in water,blank,,Evidence Step,Html,2.1: Why do oil and water separate?,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:49:33 PM","May 17, 2011 1:49:33 PM",0,0,,,,,,,,,,,,
31136,5,3,"Within a water molecule, the oxygen (O) atom is slightly negatively charged and the hydrogen atoms are slightly positively charged. ",important,,Evidence Step,Html,2.2: Oil and water at the molecular level,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:51:00 PM","May 17, 2011 1:51:00 PM",0,0,,,,,,,,,,,,
31136,5,3,These regions of positive and negative charge produce attractions between molecules that pull water molecules close together. ,blank,,Evidence Step,Html,2.2: Oil and water at the molecular level,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:51:28 PM","May 17, 2011 1:51:28 PM",0,0,,,,,,,,,,,,
31136,5,3,These attractions between molecules are an example of INTERMOLECULAR forces,blank,,Evidence Step,Html,2.2: Oil and water at the molecular level,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:52:11 PM","May 17, 2011 1:52:11 PM",0,0,,,,,,,,,,,,
31136,5,3,"oil molecules do NOT have regions of positive and negative charge. However, oil molecules do still attract water molecules and other oil molecules. ",blank,,Evidence Step,Html,2.2: Oil and water at the molecular level,1,node_78.eb:3.3 What polarity are detergents?,0,"May 19, 2011 1:40:38 PM","May 17, 2011 1:52:42 PM","May 17, 2011 1:52:42 PM",0,0,,,,,,,,,,,,
31136,5,3,remember that intermolecular attractions are forces between molecules; they pull molecules close together in solid and liquid substances. ,important,,Evidence Step,AssessmentList,2.4: Comparing intermolecular forces and covalent bonds,0,,0,"May 19, 2011 1:40:38 PM","May 17, 2011 2:02:58 PM","May 17, 2011 2:02:58 PM",0,0,,,,,,,,,,,,
31136,5,3,Covalent bonds are the forces that hold atoms together within molecules.,important,,Evidence Step,AssessmentList,2.4: Comparing intermolecular forces and covalent bonds,1,node_53.eb:3.15 What are polar molecules?,0,"May 19, 2011 1:40:38 PM","May 17, 2011 2:03:59 PM","May 17, 2011 2:03:59 PM",0,0,,,,,,,,,,,,
31136,5,3,Dipole-dipole attractions: * Only occur between two molecules that both have regions of positive/negative charge. *Exist between water molecules,important,,Evidence Step,Html,2.8: Types of intermolecular attractions,1,node_53.eb:3.15 What are polar molecules?,0,"May 19, 2011 1:40:38 PM","May 17, 2011 2:13:38 PM","May 17, 2011 2:13:38 PM",0,0,,,,,,,,,,,,
31136,5,3,"London dispersion forces:* Are weaker than dipole-dipole attractions.* Exist between all molecules, even between water and oil.*only between oil molec",important,,Evidence Step,Html,2.8: Types of intermolecular attractions,2,"node_78.eb:3.3 What polarity are detergents?,node_53.eb:3.15 What are polar molecules?",0,"May 19, 2011 1:40:38 PM","May 17, 2011 2:15:46 PM","May 17, 2011 2:15:46 PM",0,0,,,,,,,,,,,,
31136,5,3,"NOT intermolecular attractions. Instead, covalent bonds are the extremely strong forces within molecules.",important,,Evidence Step,Html,2.8: Types of intermolecular attractions,2,"node_78.eb:3.3 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:40:38 PM","May 17, 2011 2:16:35 PM","May 17, 2011 2:16:35 PM",0,0,,,,,,,,,,,,
31136,5,3,"Polar molecules, such as water, have both positive and negative ""poles"" somewhat like the opposite poles on a magnet. ",important,,Evidence Step,Html,3.1: Introducing polarity,4,"node_78.eb:3.3 What polarity are detergents?,node_53.eb:3.15 What are polar molecules?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:40:38 PM","May 18, 2011 1:41:40 PM","May 18, 2011 1:41:40 PM",0,0,,,,,,,,,,,,
31136,5,3,Molecules that do NOT have these charged regions (such as oil) are called nonpolar,blank,,Evidence Step,Html,3.1: Introducing polarity,3,"node_53.eb:3.15 What are polar molecules?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:40:38 PM","May 18, 2011 1:42:09 PM","May 18, 2011 1:42:09 PM",0,0,,,,,,,,,,,,
31136,5,3,"Electronegativity measures how much an atom ""pulls"" electrons to itself in chemical bonds",important,,Evidence Step,Html,3.5: Polarity and electronegativity ,3,"node_53.eb:3.15 What are polar molecules?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:40:38 PM","May 18, 2011 1:45:51 PM","May 18, 2011 1:45:51 PM",0,0,,,,,,,,,,,,
31136,5,3,"micelles allow oil droplets to ""dissolve"" in water, allowing oil to be removed from birds using detergents",important,,Evidence Step,Html,5.17: Micelle formation,0,,0,"May 19, 2011 1:40:38 PM","May 20, 2011 1:40:00 PM","May 20, 2011 1:40:00 PM",0,0,,,,,,,,,,,,
31137,5,3,dawn can be used to get ride of the oil on birds.,blank,,Evidence Step,IdeaBasket,1.7: Add evidence to your basket,3,"node_78.eb:3.3 What polarity are detergents?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 2:12:13 PM","May 17, 2011 1:54:26 PM","May 17, 2011 1:54:26 PM",0,0,,,,,,,,,,,,
31137,5,3,water has a intermolecular force to be with water,blank,,Evidence Step,IdeaBasket,2.10: Add new evidence to your basket,3,"node_78.eb:3.3 What polarity are detergents?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 2:12:13 PM","May 18, 2011 1:47:34 PM","May 18, 2011 1:47:34 PM",0,0,,,,,,,,,,,,
31137,5,3,detergent is polar and non polar ,blank,,Evidence Step,OpenResponse,6.2: Write your report,0,,0,"May 19, 2011 2:12:13 PM","May 20, 2011 2:11:06 PM","May 20, 2011 2:11:06 PM",0,0,,,,,,,,,,,,
31139,5,3,"Polar molecules, such as water, have both positive and negative ""poles"" ",blank,,Evidence Step,Html,3.1: Introducing polarity,3,"node_78.eb:3.3 What polarity are detergents?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:58:01 PM","May 18, 2011 1:46:05 PM","May 18, 2011 1:46:05 PM",1,0,,,,,,,,,,,,
31139,5,3,Polar molecules like the opposite poles on a magnet. ,blank,,Evidence Step,Html,3.1: Introducing polarity,3,"node_78.eb:3.3 What polarity are detergents?,node_36.eb:4.6 What polarity are detergents?,node_40.eb:5.8 What polarity are detergents? ",0,"May 19, 2011 1:58:01 PM","May 18, 2011 1:46:23 PM","May 18, 2011 1:46:23 PM",1,0,,,,,,,,,,,,
